0.43,0.0,0.54
0.43,-0.02,0.54
0.43,-0.04,0.54
0.43,-0.05,0.54
0.43,-0.05,0.53
0.43,-0.05,0.51
0.43,-0.05,0.49
0.43,-0.05,0.47
0.43,-0.05,0.45
0.43,-0.05,0.43
0.43,-0.05,0.41
0.43,-0.05,0.39
0.43,-0.05,0.37
0.43,-0.05,0.35
0.43,-0.05,0.33
0.43,-0.05,0.32
0.43,-0.05,0.3
0.43,-0.05,0.29
0.43,-0.05,0.28
0.43,-0.05,0.27
0.43,-0.05,0.25
0.43,-0.05,0.23
0.43,-0.05,0.22
0.43,-0.05,0.2
0.43,-0.05,0.18
0.43,-0.05,0.17
0.43,-0.05,0.15
0.43,-0.05,0.13
0.43,-0.07,0.13
0.43,-0.09,0.13
0.43,-0.11,0.13
0.43,-0.13,0.13
0.43,-0.15,0.13
0.43,-0.17,0.13
0.43,-0.19,0.13
0.43,-0.21,0.13
0.43,-0.23,0.13
0.43,-0.25,0.13
0.43,-0.26,0.13
0.43,-0.27,0.13
0.43,-0.29,0.13
0.43,-0.31,0.13
0.43,-0.33,0.13
0.43,-0.35,0.13
0.43,-0.36,0.13
